date,track_title,artist,album,year,speciality,instrumental,chartlist,cancon,local,duration_seconds,Source,Notes
2020-01-21,Blowin Wax,People Under the Stairs,Question In The Form Of An Answer,2000,N,N,N,N,N,275,Serato,
2020-01-21,La Goutte D'Or,St. Germain,Tourist,2000,Y,Y,N,N,N,381,Serato,
2020-01-21,Get Involved,Pete Rock,Petestrumentals,2001,N,Y,N,N,N,305,Serato,
2020-01-21,Mellowmindnuss,Atamone,Nitespliffs,2017,N,Y,N,Y,N,93,Serato,
2020-01-21,Katsudon,Karavelo,The Cookbook Vol. 1,2019,N,Y,Y,Y,N,87,Serato,
2020-01-21,You Know The Way I Feel,Katherine Penfold,Sweetest Thing,2020,N,N,Y,Y,N,236,Serato,
2020-01-21,The Climb (feat. Thundercat),Flying Lotus,Flamagra,2019,N,N,N,N,N,201,Serato,
2020-01-21,View From the Moon,Junius Paul,ism,2019,Y,Y,Y,N,N,100,Serato,
2020-01-21,Get Down (Instrumental),A.Y.E.,90 NOW Instrumentals,2016,N,Y,N,Y,Y,240,Serato,
2020-01-21,Walk in the Sunset,Uyama Hiroto,A Son of the Sun,2018,Y,Y,N,N,N,315,Serato - Tidal,
2020-01-21,Offering,Rob Clutton with Tony Malaby,Offering,2019,Y,Y,Y,Y,N,217,Serato,
2020-01-21,"Warning Talk, Part Three",David Axelrod,The Edge: David Axelrod At Capitol Records 1966,1970,Y,N,N,N,N,278,Serato - Tidal,
2020-01-21,Riis Beach (Instrumental),Chuck Strangers,Consumers Park,2018,N,Y,N,N,N,183,Serato - Tidal,
2020-01-21,High,"Freddie Gibbs, Madlib",Pinata Beats,2014,N,Y,N,N,N,165,Serato - Tidal,
2020-01-21,The Free Up (Party People),Ras G,Beatz of Mind,2010,N,N,N,N,N,222,Serato - Tidal,
2020-01-21,Funky Blue Note,"Morgan Adams Quartet Plus Two, Madlib",Shades of Blue: Madlib Invades Blue Note,2003,N,N,N,N,N,187,Serato - Tidal,
2020-01-21,Montaigne,Andres Vial,Gang of Three,2019,Y,Y,Y,Y,N,349,Serato,
2020-01-21,? (Instrumental),MF DOOM,Operation: Doomsday (Complete),1999,N,Y,N,N,N,157,Serato - Tidal,
2020-01-21,What a Day,Kiefer,Happysad,2018,N,Y,N,N,N,157,Serato - Tidal,
2020-01-21,Luv (sic.) Pt. 3,Nujabes,Modal Soul,2005,N,Y,N,N,N,336,Serato - Tidal,
2020-01-21,Mantranada,Kawfee,Big chillin’,2019,N,Y,N,Y,N,73,Serato - Tidal,
2020-01-21,Black Ego,Digable Planets,Blowout Comb,1994,N,N,N,N,N,422,Serato - Tidal,
2020-01-21,Speak The Language (feat. Lizz Fields),Jazz Liberatorz,Clin D'oeil,2008,N,N,N,N,N,360,Serato - Tidal,
2020-01-28,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,Mecca and the Soul Brother,1992,N,N,N,N,N,270,Serato,
2020-01-28,Max Brown,Jeff Parker,Suite for Max Brown,2020,Y,Y,Y,N,N,636,Serato,
2020-01-28,Santiago,Tarik Robinson,Unión Latinoamericana (Beat Tape),2019,N,Y,Y,Y,Y,139,Serato,
2020-01-28,3-D Lifestyles,Greg Osby,3-D Lifestyles,1993,N,N,N,N,N,247,Serato - Tidal,
2020-01-28,sugar,yutaka hirasaka,Forever,2020,Y,Y,Y,N,N,238,Serato,
2020-01-28,Refuge,Rob Clutton with Tony Malaby,Offering,2019,Y,Y,Y,Y,N,261,Serato,
2020-01-28,Take it Easy,Kawfee,Memento,2019,N,Y,N,Y,N,136,Serato - Tidal,
2020-01-28,The Red Book,Khruangbin,Hasta El Cielo,2019,N,Y,N,N,N,192,Serato,
2020-01-28,High Above a Grey Green Sea,Colin Stetson,New History Warfare Vol. 3: To See More Light,2013,Y,Y,N,Y,N,265,Serato - Tidal,
2020-01-28,Why Keep On Breaking My Heart,Nina Simone,Wild Is the Wind,1966,N,N,N,N,N,157,Serato - Tidal,
2020-01-28,Emotions,Atamone,Nitespliffs,2017,N,Y,N,Y,N,153,Serato - Tidal,
2020-01-28,Akamara,Jamael Dean,Black Space Tapes,2019,Y,Y,N,N,N,699,Serato - Tidal,
2020-01-28,Certain Cells (feat. Esperanza Spalding & Nels Cline),"Kris Davis, Esperanza Spalding, Nels Cline",Diatom Ribbons,2019,Y,Y,N,N,N,339,Serato - Tidal,
2020-01-28,Ain't The Devil Happy,Jeru The Damaja,The Sun Rises In The East,1994,N,N,N,N,N,224,Serato - Tidal,
2020-01-28,Pete's Jazz,Pete Rock,Petestrumentals,2001,N,Y,N,N,N,337,Serato,
2020-01-28,Cherokee,Kamasi Washington,The Epic,2015,Y,N,N,N,N,494,Serato,
2020-01-28,CMYK,BADBADNOTGOOD,BBNG2,2012,Y,Y,N,Y,N,316,Serato,
2020-01-28,The Blackwidow Blues (Album Version),Buckshot LeFonque,Buckshot Lefonque,1994,Y,Y,N,N,N,368,Serato - Tidal,
2020-02-04,Introduction,Madlib,Shades Of Blue: Madlib Invades Blue Note,2003,N,N,N,N,N,32,Serato - Tidal,
2020-02-04,Slim's Return,Madlib,Shades Of Blue: Madlib Invades Blue Note,2003,N,Y,N,N,N,236,Serato - Tidal,
2020-02-04,Go Away,Jeff Parker,Suite For Max Brown,2020,Y,Y,Y,N,N,299,Serato,
2020-02-04,Coquimbo,Tarik Robinson,Unión Latinoamericana (Beat Tape),2019,N,Y,Y,Y,Y,239,Serato,
2020-02-04,Never My Love,Tom Scott,The Honeysuckle Breeze,1967,N,N,N,N,N,199,Serato - Tidal,
2020-02-04,Sailing at Night,Local Talent,Higienópolis,2019,Y,Y,Y,Y,N,281,Serato,
2020-02-04,Coffee and A Cigarette,Karavelo,The Cookbook Vol. 1,2019,N,Y,Y,Y,N,45,Serato,
2020-02-04,Nature Man and Woman,Badge Époque Ensemble,"Nature, Man & Woman",2019,Y,Y,Y,Y,N,370,Serato,
2020-02-04,Azimuth,G Mills,"Currents, Vol. 1",2018,N,Y,N,N,N,111,Serato - Tidal,
2020-02-04,Treefingers,Radiohead,Kid A,2000,N,Y,N,N,N,222,Serato - Tidal,
2020-02-04,Loungin' (feat. Donald Byrd),Guru,Jazzmatazz Volume 1,1993,N,N,N,N,N,279,Serato - Tidal,
2020-02-04,It's Good To Be Here,Digable Planets,Reachin' (A New Refutation Of Time And Space),1993,N,N,N,N,N,306,Serato - Tidal,
2020-02-04,Resurrection,Common,Resurrection,1994,N,N,N,N,N,227,Serato - Tidal,
2020-02-04,The Doo-Bop Song,Miles Davis,Doo-Bop,1992,N,N,N,N,N,302,Serato - Tidal,
2020-02-04,Lifetime Monologue,Lou Rawls,The Edge: David Axelrod At Capitol Records 1966-1970,1968,N,N,N,N,N,111,Serato - Tidal,
2020-02-04,One For You,Doug Lucas,Niara,1976,N,Y,N,N,N,382,Serato - Tidal,
2020-02-04,within,howiewonder,float,2019,N,Y,Y,Y,N,171,Serato,
2020-02-04,Right Here,DJ Mitsu The Beats,New Awakening,2007,N,N,N,N,N,289,Serato - Tidal,
2020-02-04,I Love Music,Ahmad Jamal Trio,The Awakening,1970,Y,Y,N,N,N,442,Serato - Tidal,
2020-02-04,Twilight (feat. Izo FitzRoy),Kraak & Smaak,Pleasure Centre,2019,N,N,Y,N,N,343,Serato - CJSW,
2020-02-04,Benchwarming,Audrey Ochoa,Frankenhorn,2020,Y,Y,Y,Y,N,401,Serato - CJSW,
2020-02-11,Clin D'oeil,Jazz Liberatorz,Clin D'oeil,2008,N,N,N,N,N,424,Serato - Tidal,
2020-02-11,Two Pit Bulls,Chuck Strangers,Consumers Park,2018,N,Y,N,N,N,100,Serato - Tidal,
2020-02-11,Recoiled,Flying Lotus,Cosmogramma,2010,N,Y,N,N,N,333,Serato,
2020-02-11,Fusion Swirl,Jeff Parker,Suite For Max Brown,2020,Y,Y,Y,N,N,333,Serato,
2020-02-11,Skeletons,Local Talent,Higienópolis,2019,Y,Y,Y,Y,N,333,Serato,
