year,week,title,pkgs,code_fpath,img_fpath,cowplot,dplyr,forcats,ggbeeswarm,ggmap,ggplot2,ggrepel,here,htmltools,janitor,lubridate,mapproj,maps,patchwork,readr,scales,sf,stringr,svglite,tidyr,tidytuesdayR,tidyverse,viridis
2021,2021-03-23,United Nations Votes,"tidyverse, here, readr",2021/2021-03-23/2021-03-23.R,2021/2021-03-23/2021-03-23_unvotes.png,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2021,2021-10-05,US Nurse Salaries,"tidyverse, tidytuesdayR, here, sf, viridis, janitor",2021/2021-10-05/2021-10-05.R,2021/2021-10-05/2021-10-05_median_salary.png,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
2023,2023-02-07,Monthly Trading Volume,"tidyverse, tidytuesdayR, here, lubridate, scales, ggrepel",2023/2023-02-07/2023-02-07.R,2023/2023-02-07/2023-02-07_monthly_vol.png,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
2023,2023-03-28,Timezones,"dplyr, ggplot2, tidyr, tidytuesdayR, here, lubridate, htmltools, svglite",2023/2023-03-28/2023-03-28.R,2023/2023-03-28/2023-03-28_papau_new_guinea.png,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
2023,2023-07-25,Scurvy Symptoms,"dplyr, ggplot2, tidyr, tidytuesdayR, here, stringr, readr",2023/2023-07-25/2023-07-25.R,2023/2023-07-25/2023-07-25_scurvy_symptoms.png,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
2024,2024-01-09,NHL birth month proportion comparison,"dplyr, ggplot2, tidyr, tidytuesdayR, here, forcats, cowplot, stringr, scales",2024/2024-01-09/2024-01-09.R,2024/2024-01-09/2024-01-09_proportion_comparison.png,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
2024,2024-01-23,Education attainment in English towns,"dplyr, ggplot2, tidyr, tidytuesdayR, here, forcats, ggbeeswarm, stringr",2024/2024-01-23/2024-01-23.R,2024/2024-01-23/2024-01-23_edu_attainment_violin.png,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2024,2024-03-05,Trash Wheel,"tidytuesdayR, dplyr, tidyr, ggplot2, here, janitor, lubridate, scales",2024/2024-03-05/2024-03-05.R,2024/2024-03-05/2024-03-05_cumulative_trash.png,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
2024,2024-03-12,Directory sponsors,"tidytuesdayR, dplyr, tidyr, ggplot2, here",2024/2024-03-12/2024-03-12.R,2024/2024-03-12/2024-03-12_num_sponsors.png,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2024,2024-03-26,NCAA Men's Basketball Finals Picks,"dplyr, ggplot2, tidyr, tidytuesdayR, here, janitor, stringr, scales",2024/2024-03-26/2024-03-26.R,2024/2024-03-26/2024-03-26_top_10_finals_picks.png,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
2024,2024-04-02,Plate 37,"dplyr, ggplot2, tidyr, tidytuesdayR, here, janitor, stringr",2024/2024-04-02/2024-04-02.R,2024/2024-04-02/2024-04-02_plate_37.png,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
2024,2024-04-09,2024 Solar Eclipse,"dplyr, ggplot2, ggmap, maps, mapproj, tidyr, tidytuesdayR, here, janitor, stringr",2024/2024-04-09/2024-04-09.R,2024/2024-04-09/2024-04-09_totality_duration.png,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
2024,2024-04-16,Shiny,"dplyr, ggplot2, tidytuesdayR, janitor, here",2024/2024-04-16/2024-04-16.R,NA,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2024,2024-05-14,Coffee,"dplyr, ggplot2, tidyr, tidytuesdayR, here, janitor, stringr, readr",2024/2024-05-14/2024-05-14.R,2024/2024-05-14/2024-05-14_cups_per_day.png,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0
2025,2025-10-07,Euroleague Men's Basketball,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, janitor, forcats",2025/2025-10-07/2025-10-07.R,2025/2025-10-07/2025-10-07_euroleague.png,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
2025,2025-10-14,Food Insecurity,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, stringr, scales",2025/2025-10-14/2025-10-14.R,2025/2025-10-14/2025-10-14_food_insecurity.png,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
2025,2025-10-21,UK Weather Stations,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, stringr, forcats, patchwork",2025/2025-10-21/2025-10-21.R,2025/2025-10-21/2025-10-21_uk_weather_stations.png,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
2025,2025-10-28,UK Literary Prizes,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, stringr, patchwork, scales",2025/2025-10-28/2025-10-28.R,2025/2025-10-28/2025-10-28_literary_prizes.png,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
2025,2025-11-04,Flint Lead,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, stringr, patchwork",2025/2025-11-04/2025-11-04.R,2025/2025-11-04/2025-11-04_flint_lead.png,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
2025,2025-11-11,Tuberculosis,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, scales",2025/2025-11-11/2025-11-11.R,2025/2025-11-11/2025-11-11_tuberculosis.png,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
2025,2025-11-18,Sherlock Holmes,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here",2025/2025-11-18/2025-11-18.R,2025/2025-11-18/2025-11-18_holmes.png,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2025,2025-11-25,SPI Indicators,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, stringr",2025/2025-11-25/2025-11-25.R,2025/2025-11-25/2025-11-25_spi_indicators_canada.png,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
2025,2025-12-02,Exploding Snowman,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, stringr",2025/2025-12-02/2025-12-02.R,2025/2025-12-02/2025-12-02_exploding_snowman.png,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
2025,2025-12-09,Qatar Cars,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, stringr, scales",2025/2025-12-09/2025-12-09.R,2025/2025-12-09/2025-12-09_qatar_cars.png,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
2025,2025-12-16,Roundabouts,"tidytuesdayR, lubridate, dplyr, tidyr, ggplot2, here, stringr",2025/2025-12-16/2025-12-16.R,2025/2025-12-16/2025-12-16_roundabouts.png,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
